"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Justin Verlander","Astros","11","5","0","0","3.31","22","22","136.0","109","50","19","167","33","1.05","11.05","2.19","3.36","3.2","8700"
"Zack Britton","Yankees","2","1","1","11","3.15","0","41","41.0","36","14","3","40","17","1.30","8.73","3.71","3.36","0.7","3240"
"Ray Black","Giants","1","1","0","2","3.23","0","24","24.0","17","9","2","33","12","1.24","12.44","4.71","3.36","0.1","14244"
"Walker Buehler","Dodgers","8","5","0","0","3.37","20","20","114.0","98","43","13","129","34","1.17","10.15","2.72","3.39","2.1","19374"
"Reyes Moronta","Giants","3","2","3","9","3.35","0","44","44.0","33","16","4","59","25","1.30","11.94","5.01","3.40","0.5","14966"
"Carlos Carrasco","Indians","10","6","0","0","3.56","21","21","126.0","114","50","17","143","28","1.13","10.21","1.99","3.41","2.8","6632"
"Jeurys Familia","Mets","3","2","3","9","3.44","0","44","44.0","38","17","3","48","20","1.31","9.75","4.11","3.42","0.6","5114"
"Mark Melancon","Giants","2","2","1","12","3.41","0","44","44.0","42","17","3","38","13","1.27","7.81","2.74","3.43","0.3","4264"
"Jose Leclerc","Rangers","3","2","22","2","3.38","0","45","45.0","32","17","4","63","27","1.32","12.68","5.46","3.43","1.0","14524"
"Aaron Loup","Padres","1","1","0","0","3.39","0","17","17.0","15","6","1","18","7","1.30","9.87","3.53","3.45","0.0","10343"
"Patrick Corbin","Nationals","8","6","0","0","3.61","21","21","124.0","115","50","14","137","37","1.23","9.93","2.72","3.45","2.4","9323"
"Trevor Gott","Giants","1","1","0","0","3.50","0","17","17.0","16","7","1","17","6","1.29","8.83","3.41","3.47","0.0","15046"
"Nick Anderson","Marlins","2","2","1","11","3.45","0","38","38.0","30","15","5","51","15","1.19","12.08","3.53","3.47","0.4","18337"
"Seranthony Dominguez","Phillies","3","2","5","10","3.46","0","44","44.0","35","17","4","56","20","1.26","11.45","4.14","3.48","0.6","19249"
"Chris Paddack","Padres","6","6","0","0","3.60","16","16","95.0","86","38","12","105","23","1.15","9.94","2.18","3.48","1.8","20099"
"Colin Poche","Rays","1","0","0","0","3.32","0","10","10.0","8","4","1","14","5","1.19","12.30","3.97","3.49","0.0","sa657989"
"Sean Doolittle","Nationals","3","2","22","4","3.38","0","44","44.0","36","16","6","53","11","1.08","10.91","2.31","3.49","0.8","1581"
"Chad Green","Yankees","2","2","0","8","3.46","0","37","37.0","32","14","5","46","11","1.13","11.08","2.55","3.50","0.4","15552"
"Luke Jackson","Braves","2","2","19","3","3.55","0","40","40.0","35","16","3","46","18","1.34","10.30","4.16","3.51","0.5","11752"
