All Pitchers Year to Date MLB True Talent Categories,,,,,,,,,,,,,,,,,
Avail,Player,INN,GS,BFP,PC,W,S,K,BB,H,HR,ER,ERA,WHIP,Kd9,BBd9,Rank
W ,Yeudy Garcia SP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Nick Wells SP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Max Povse RP | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brian Johnson RP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kutter Crawford SP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brody Colvin SP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryan Hendrix RP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Scott Williams RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,D.J. Snelten RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Richard Lovelady RP | KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kurt Heyer P | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Taylor Jungmann RP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Juan Sandoval SP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Union State Connectors,Zack Wheeler SP | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Bo Schultz RP | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jean-Carlos Mejia P | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Myles Jaye RP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,William Cuevas RP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jimmie Sherfy RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jeffrey Rosa SP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Joe Mantiply RP | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Derek Eitel P | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Preston Guilmet RP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Austin Davis RP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Rainy Lara RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Parker Curry RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Junior Guerra SP | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Hunter Adkins SP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Javy Guerra RP | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Casey Mize SP | DET ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
University of Woolloomooloo Philosophy Department,Reynaldo Lopez SP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
keeper quality boating accidents,Ty Buttrey RP | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Droitwich Murdercocks,Gio Gonzalez SP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Anderson P | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Teddy Stankiewicz SP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Yusmeiro Petit RP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,MacKenzie Gore SP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Pedro Strop RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Thomas Hatch SP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Marco Gonzales SP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
